date, pm10, o3, no2
2017/5/26, 18, 28, 26
2017/5/27, 20, 35, 30
2017/5/28, 17, 48, 27
2017/5/29, 18, 44, 41
2017/5/30, 25, 39, 38
2017/5/31, 30, 33, 26
2017/6/1, 25, 32, 26
2017/6/2, 22, 37, 34
2017/6/3, 23, 32, 29
2017/6/4, 19, 30, 23
2017/6/5, 24, 35, 24
2017/6/6, 19, 34, 34
2017/6/7, 26, 24, 18
2017/6/8, 16, 24, 25
2017/6/9, 18, 38, 37
2017/6/10, 23, 33, 22
2017/6/11, 15, 40, 30
2017/6/12, 19, 31, 28
2017/6/13, 23, 26, 27
2017/6/14, 19, 27, 25
2017/6/15, 18, 39, 40
2017/6/16, 20, 27, 24
2017/6/17, 21, 28, 14
2017/6/18, 15, 29, 19
2017/6/19, 15, 37, 35
2017/6/20, 19, 40, 36
2017/6/21, 26, 30, 33
2017/6/22, 19, 34, 41
2017/6/23, 25, 32, 33
2017/6/24, 22, 27, 23
2017/6/25, 23, 22, 16
2017/6/26, 15, 24, 25
2017/6/27, 16, 34, 27
2017/6/28, 21, 36, 32
2017/6/29, 24, 25, 33
2017/6/30, 33, 21, 25
2017/7/1, 16, 21, 25
2017/1/3, 24, 16, 22
2017/1/4, 17, 26, 22
2017/1/5, 13, 23, 19
2017/1/6, 12, 17, 35
2017/1/7, 16, 12, 28
2017/1/8, 25, 5, 28
2017/1/9, 41, 4, 30
2017/1/10, 34, 12, 31
2017/1/11, 29, 13, 26
2017/1/12, 36, 22, 27
2017/1/13, 20, 15, 30
2017/1/14, 17, 15, 29
2017/1/15, 20, 19, 18
2017/1/16, 14, 13, 31
2017/1/17, 16, 5, 44
2017/1/18, 29, 3, 36
2017/1/19, 37, 9, 31
2017/1/20, 39, 1, 34
2017/1/21, 44, 5, 32
2017/1/22, 32, 11, 26
2017/1/23, 36, 5, 28
2017/1/24, 44, 3, 25
2017/1/25, 41, 1, 29
2017/1/26, 39, 7, 31
2017/1/27, 43, 11, 43
2017/1/28, 57, 15, 38
2017/1/29, 55, 11, 33
2017/1/30, 53, 10, 38
2017/1/31, 50, 9, 33
2017/2/1, 46, 9, 34
2017/2/2, 60, 5, 36
2017/2/3, 53, 3, 33
2017/2/4, 55, 3, 29
2017/2/5, 51, 4, 21
2017/2/6, 48, 20, 22
2017/2/7, 38, 20, 22
2017/2/8, 38, 17, 24
2017/2/9, 50, 16, 28
2017/2/10, 57, 18, 27
2017/2/11, 63, 20, 25
2017/2/12, 57, , 
2017/2/14, 62, 6, 40
2017/2/15, 70, 8, 62
2017/2/16, 95, 8, 49
2017/2/17, 84, 7, 33
2017/2/18, 37, 14, 29
2017/2/19, 23, 17, 21
2017/2/20, 29, 13, 24
2017/2/21, 28, 19, 28
2017/2/22, 18, 26, 25
2017/2/23, 14, 20, 29
2017/2/24, 16, 27, 26
2017/2/25, 14, 25, 27
2017/2/26, 25, 24, 20
2017/2/27, 19, 21, 40
